"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         318,       3.345819533,       6.013546883,       5.441484231,       8.410339628
          0,           0,         319,       3.247316197,       5.915050712,       5.342935221,       8.311845178
          0,           0,         320,       3.139706441,       5.807455772,       5.235141489,       8.204241437
          0,           0,         321,       3.024903669,       5.692682488,        5.12010624,       8.089460913
          0,           0,         322,       2.905791094,       5.573597668,       5.000958215,       7.970331155
          0,           0,         323,       2.784346882,       5.452196998,       4.879921739,       7.848924961
          0,           0,         324,       2.699029149,       5.372634388,       4.817603876,        7.77903389
          0,           0,         325,       2.552878064,       5.220810343,       4.647125074,       7.617960566
          0,           0,         326,       2.448562794,       5.116399543,       4.538636209,       7.513195126
          0,           0,         327,       2.365638432,       5.033916467,       4.448937441,       7.429334559
          0,           0,         328,       2.335259435,       5.002988615,       4.422988934,        7.40064127
          0,           0,         329,        2.36633445,       5.034224284,       4.458307966,       7.432308181
          0,           0,         330,       2.421234079,       5.089267787,       4.496308049,        7.48464265
          0,           0,         331,       2.506450449,       5.174003696,       4.562493559,       7.567327864
          0,           0,         332,       2.547547603,       5.217159362,       4.672501161,       7.620759255
          0,           0,         333,       2.562261193,       5.230276251,       4.629919623,       7.624220782
          0,           0,         334,        2.57317213,       5.241034291,       4.643280748,        7.63582045
          0,           0,         335,       2.584344246,       5.252169901,       4.650437999,       7.646732109
          0,           0,         336,          2.601858,       5.269652942,       4.664517416,       7.663942394
          0,           0,         337,       2.637713693,       5.305424991,       4.686365963,       7.698034087
          0,           0,         338,       2.710510405,        5.37798367,       4.736865478,       7.767546797
          0,           0,         339,       2.819078139,       5.486415926,       4.819328347,        7.87358848
          0,           0,         340,       3.015055952,       5.682012014,       5.002288233,       8.067247283
          0,           0,         341,       2.683202885,       5.351327702,       4.703278902,       7.744724533
          0,           0,         342,       2.658461179,       5.326577112,       4.688597435,       7.721269034
          0,           0,         343,       2.576608446,       5.244488602,       4.666452329,       7.641674201
          0,           0,         344,       2.567529746,       5.235439783,       4.687623825,       7.634034949
          0,           0,         345,       2.635135638,       5.302763008,       4.664136645,       7.701021477
          0,           0,         346,       2.604867613,       5.272515638,       4.642013809,       7.671506343
          0,           0,         347,       2.565168507,       5.232892439,       4.615574979,       7.631654749
          0,           0,         348,       2.521640159,       5.189477278,       4.585585789,       7.587650307
          0,           0,         349,          2.481394,       5.149314919,        4.55438264,       7.546913702
          0,           0,         350,       2.448176977,        5.11614342,       4.527869528,       7.513707199
